,Start frame,End frame,Duration (frames),Duration (sec)
359,10977.0,10988.0,12.0,0.4
360,10996.0,11001.0,6.0,0.2
361,11020.0,11045.0,26.0,0.8666666666666667
362,11048.0,11075.0,28.0,0.9333333333333333
363,11085.0,11090.0,6.0,0.2
364,11121.0,11132.0,12.0,0.4
365,11164.0,11173.0,10.0,0.3333333333333333
366,11191.0,11192.0,2.0,0.06666666666666667
367,11260.0,11260.0,1.0,0.03333333333333333
368,11348.0,11384.0,37.0,1.2333333333333334
369,11402.0,11438.0,37.0,1.2333333333333334
370,11450.0,11455.0,6.0,0.2
371,11466.0,11466.0,1.0,0.03333333333333333
372,11471.0,11488.0,18.0,0.6
373,11490.0,11502.0,13.0,0.43333333333333335
374,11507.0,11515.0,9.0,0.3
375,11536.0,11543.0,8.0,0.26666666666666666
376,11552.0,11560.0,9.0,0.3
377,11567.0,11605.0,39.0,1.3
378,11627.0,11739.0,113.0,3.7666666666666666
379,11782.0,11820.0,39.0,1.3
380,11837.0,11860.0,24.0,0.8
381,11875.0,11880.0,6.0,0.2
382,11890.0,11913.0,24.0,0.8
383,11916.0,11948.0,33.0,1.1
384,11976.0,11976.0,1.0,0.03333333333333333
385,11978.0,11986.0,9.0,0.3
386,12001.0,12002.0,2.0,0.06666666666666667
387,12008.0,12016.0,9.0,0.3
388,12041.0,12042.0,2.0,0.06666666666666667
389,12054.0,12067.0,14.0,0.4666666666666667
390,12072.0,12099.0,28.0,0.9333333333333333
391,12104.0,12108.0,5.0,0.16666666666666666
392,12168.0,12168.0,1.0,0.03333333333333333
393,12175.0,12180.0,6.0,0.2
394,12198.0,12241.0,44.0,1.4666666666666666
395,12248.0,12254.0,7.0,0.23333333333333334
396,12285.0,12296.0,12.0,0.4
397,12349.0,12354.0,6.0,0.2
398,12418.0,12462.0,45.0,1.5
399,12466.0,12468.0,3.0,0.1
400,12479.0,12484.0,6.0,0.2
401,12490.0,12528.0,39.0,1.3
402,12551.0,12554.0,4.0,0.13333333333333333
403,12588.0,12593.0,6.0,0.2
404,12614.0,12658.0,45.0,1.5
405,12708.0,12716.0,9.0,0.3
406,12719.0,12721.0,3.0,0.1
407,12748.0,12749.0,2.0,0.06666666666666667
408,12776.0,12776.0,1.0,0.03333333333333333
409,12795.0,12795.0,1.0,0.03333333333333333
410,12815.0,12817.0,3.0,0.1
411,12846.0,12887.0,42.0,1.4
412,12889.0,12891.0,3.0,0.1
413,12903.0,12923.0,21.0,0.7
414,12928.0,12936.0,9.0,0.3
415,12966.0,12967.0,2.0,0.06666666666666667
416,12969.0,12974.0,6.0,0.2
417,12991.0,12996.0,6.0,0.2
418,13001.0,13002.0,2.0,0.06666666666666667
419,13106.0,13135.0,30.0,1.0
420,13148.0,13153.0,6.0,0.2
421,13202.0,13209.0,8.0,0.26666666666666666
422,13229.0,13230.0,2.0,0.06666666666666667
423,13283.0,13285.0,3.0,0.1
424,13335.0,13344.0,10.0,0.3333333333333333
425,13359.0,13392.0,34.0,1.1333333333333333
426,13425.0,13428.0,4.0,0.13333333333333333
427,13438.0,13450.0,13.0,0.43333333333333335
428,13501.0,13502.0,2.0,0.06666666666666667
429,13525.0,13535.0,11.0,0.36666666666666664
430,13552.0,13553.0,2.0,0.06666666666666667
431,13555.0,13557.0,3.0,0.1
432,13585.0,13593.0,9.0,0.3
433,13596.0,13622.0,27.0,0.9
434,13626.0,13644.0,19.0,0.6333333333333333
435,13652.0,13655.0,4.0,0.13333333333333333
436,13682.0,13687.0,6.0,0.2
437,13692.0,13721.0,30.0,1.0
438,13723.0,13729.0,7.0,0.23333333333333334
439,13735.0,13744.0,10.0,0.3333333333333333
440,13749.0,13762.0,14.0,0.4666666666666667
441,13765.0,13768.0,4.0,0.13333333333333333
442,13779.0,13780.0,2.0,0.06666666666666667
443,13786.0,13792.0,7.0,0.23333333333333334
444,13798.0,13802.0,5.0,0.16666666666666666
445,13804.0,13813.0,10.0,0.3333333333333333
446,13819.0,13840.0,22.0,0.7333333333333333
447,13847.0,13854.0,8.0,0.26666666666666666
448,13856.0,13862.0,7.0,0.23333333333333334
449,13864.0,13869.0,6.0,0.2
450,13871.0,13876.0,6.0,0.2
451,13884.0,13884.0,1.0,0.03333333333333333
452,13899.0,13908.0,10.0,0.3333333333333333
453,13921.0,13929.0,9.0,0.3
454,13934.0,13976.0,43.0,1.4333333333333333
455,13987.0,13998.0,12.0,0.4
456,14001.0,14002.0,2.0,0.06666666666666667
457,14005.0,14017.0,13.0,0.43333333333333335
458,14065.0,14069.0,5.0,0.16666666666666666
459,14084.0,14091.0,8.0,0.26666666666666666
460,14095.0,14102.0,8.0,0.26666666666666666
461,14133.0,14135.0,3.0,0.1
462,14147.0,14155.0,9.0,0.3
463,14163.0,14167.0,5.0,0.16666666666666666
464,14174.0,14192.0,19.0,0.6333333333333333
465,14207.0,14222.0,16.0,0.5333333333333333
